date,senator,ticker,amount,direction,returns_after_1d,returns_before_1d,returns_after_5d,returns_before_5d,returns_after_15d,returns_before_15d,returns_after_30d,returns_before_30d,adtv_before_1d,adtv_after_1d,adtv_before_5d,adtv_after_5d,adtv_before_15d,adtv_after_15d,adtv_before_30d,adtv_after_30d,daily_adtv
2015-01-15,David Perdue,CLX,-8000.5,-1.0,0.015737062017646686,0.0041141020246990845,0.00940499808577333,0.00074571489619224,0.0025606842806911168,0.0123491384673442,0.03059456868212207,0.0682383390966419,19525300.0,3956500.0,1322300.0,11337500.0,2306266.6666666665,5920064.6,4848248.5,6355474.733333333,1173700.0
2015-01-16,John Hoeven,NOG,65001.0,1.0,-0.051724029897722734,0.08319167217350176,0.06426339940311143,0.10189965103805054,0.35736683224564336,0.03571418383493352,0.2210033492439809,-0.11018137057877808,1166700.0,8478500.0,6499716.6,2689632.6,6769143.333333333,14535674.133333333,4007141.1666666665,8864755.833333334,234950.0
2015-01-16,Pat Roberts,NFLX,-32500.5,-1.0,0.03397164621746662,0.04194461890703427,0.32376827086064575,0.024446569422950537,0.31342266589641454,-0.013914066212527776,0.407215207929269,-0.05006759937258154,7870000.0,4604055.0,12605496.4,2784916.6,3290173.933333333,2297543.4,4367809.8,8253756.166666667,19696600.0
2015-01-21,David Perdue,KN,8000.5,1.0,0.0009263759899174051,-0.0036917361986339436,-0.0305697009146616,-0.038735483853435504,0.054191758593095773,-0.09627456240359467,-0.08476145950775738,0.10661198868808341,1231000.0,917900.0,4882452.4,3901120.0,3752600.533333333,1897789.6666666667,3373019.6333333333,2506851.5,1253600.0
2015-01-22,Thomas R. Carper,PNQI,8000.5,1.0,0.009218023116465357,0.02546121793224021,-0.01724644089882421,0.04538384962828945,0.023936978147171217,-0.004440504859281935,0.05218556651904849,0.012951805303363928,156900.0,921600.0,3390300.0,1446124.2,1683040.3333333333,1326054.7333333334,7886699.466666667,3957252.1333333333,393500.0
2015-01-23,Sheldon Whitehouse,DHR,-32500.5,-1.0,-0.005704809477461659,-0.004260378621841698,-0.02091748743095634,0.02572248219924589,0.03173267124897339,-0.01831761156367906,0.023175898991990573,-0.0014606379100796651,11388100.0,60300.0,4876986.6,1171900.0,5187908.0,1448523.7333333334,2911495.066666667,4617009.433333334,5630105.0
2015-01-23,Sheldon Whitehouse,GILD,32500.5,1.0,0.014875810325977401,0.0038047253491706456,-0.006727140291102662,0.08357272375139146,-0.03448896586718109,0.11966916285808682,-0.03951090243796529,-0.003493567058529101,439500.0,2998800.0,2414086.0,2424930.0,3256620.0,10277619.866666667,4383323.566666666,7021346.6,9593500.0
2015-01-26,David Perdue,BK,-8000.5,-1.0,-0.0181716013927532,0.01409206723735501,-0.01544966553041316,-0.0010680277055468146,0.059459071324416524,-0.07513642799406361,0.05220979834986883,-0.08239337118288159,873300.0,230000.0,1275992.6,1371880.0,7632003.6,2204189.2666666666,3688199.8,2693042.466666667,8192400.0
2015-01-26,Thomas R. Carper,HBI,8000.5,1.0,-0.008638099598705873,-0.008737289722368535,-0.018334123458034424,0.05869702389419129,0.04340537784626597,0.025675667371985345,0.13398265402431897,0.035505604241817146,7661500.0,81150000.0,4639060.0,17232009.6,4941340.0,8459259.2,2301212.966666667,4888458.2,3549200.0
2015-01-27,David Perdue,KN,8000.5,1.0,-0.041666659388932326,0.016286662875637514,0.058608089638398475,0.00784495042433897,-0.17353483924212587,-0.010421365900166624,-0.0929487487391325,0.10414557100259314,1404800.0,969700.0,3123227.0,5024780.0,4145673.6,2244889.4,4832295.466666667,2916658.033333333,1055800.0
